Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,age_group
2023/06/07 10:11:28 PM GMT+5:30,51,Female,few times a month,Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,5,Maybe,Never,others,Always,Yes,Occasionally,No,No,4,5,User-friendly website/app interface,User Interface,752449,45-54
2023/06/06 6:57:14 PM GMT+5:30,38,Female,once a month,Clothing and Fashion;Home and Kitchen,No,Rarely,Filter,Multiple pages,5,No,Often,Changed my mind or no longer need the item,Sometimes,No,Heavily,No,No,1,1,Customer service,product quality and accuracy,623749,35-44
2023/06/09 9:34:07 AM GMT+5:30,20,Other,multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a week,Filter,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,Yes,4,4,Wide product selection,reducing packaging waste,192547,18-24
2023/06/08 5:42:23 PM GMT+5:30,50,Male,less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,Keyword,Multiple pages,5,Maybe,Never,others,Sometimes,No,Never,No,Yes,5,5,Competitive prices,i don't have any problem with amazon,925105,45-54
2023/06/06 2:07:12 PM GMT+5:30,22,Other,once a week,Beauty and Personal Care;Home and Kitchen;others,No,Few times a month,categories,First page,1,No,Always,Found a better price elsewhere,Always,Yes,Never,Yes,Yes,2,2,User-friendly website/app interface,User Interface,828993,18-24
2023/06/09 2:36:46 PM GMT+5:30,29,Male,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,5,No,Sometimes,High shipping costs,Never,No,Rarely,No,No,3,4,Product recommendations,add more familiar brands to the list,458869,25-34
2023/06/05 8:44:09 PM GMT+5:30,27,Other,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,Unknown,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Never,Sometimes,No,3,4,Wide product selection,Unknown,986781,25-34
2023/06/06 7:16:28 PM GMT+5:30,46,Female,once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Unknown,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,Sometimes,5,1,Customer service,product quality and accuracy,533645,45-54
2023/06/08 5:11:27 PM GMT+5:30,24,Male,once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,First page,2,Yes,Never,Changed my mind or no longer need the item,Never,Yes,Moderately,No,No,3,3,All the above,no problems with amazon,489066,18-24
2023/06/11 10:44:01 PM GMT+5:30,5,Other,few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,Unknown,First page,4,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Never,Sometimes,Sometimes,4,2,.,quality of product is very poor according to the big offers,705393,18-24
2023/06/05 8:46:09 PM GMT+5:30,38,Other,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,others,Often,No,Heavily,Sometimes,Yes,1,2,Competitive prices,i have no problem with amazon yet. but others tell me about the refund issues,954650,35-44
2023/06/05 8:52:01 PM GMT+5:30,42,Other,less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Always,Found a better price elsewhere,Sometimes,Yes,Occasionally,Sometimes,Sometimes,4,5,Wide product selection,better app interface and lower shipping charges,238659,35-44
2023/06/04 9:29:59 PM GMT+5:30,36,Other,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,2,Yes,Rarely,High shipping costs,Never,Yes,Occasionally,Yes,Yes,1,2,Competitive prices,User Interface,829116,35-44
2023/06/09 9:35:19 AM GMT+5:30,62,Male,multiple times a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,5,Yes,Never,Found a better price elsewhere,Often,Yes,Rarely,No,Yes,3,3,Competitive prices,irrelevant product suggestions,348347,55+
2023/06/06 6:43:32 PM GMT+5:30,39,Other,once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,5,Yes,Always,Found a better price elsewhere,Often,No,Occasionally,Yes,Sometimes,2,3,Competitive prices,no problems with amazon,946844,35-44
2023/06/11 11:21:30 PM GMT+5:30,23,Other,few times a month,Clothing and Fashion,Sometimes,Rarely,Unknown,First page,5,No,Rarely,others,Rarely,Yes,Never,Yes,Sometimes,1,4,Customer service,quality of product is very poor according to the big offers,731501,18-24
2023/06/05 9:56:02 PM GMT+5:30,16,Male,less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Filter,Multiple pages,2,Maybe,Always,others,Sometimes,No,Never,Sometimes,Sometimes,2,4,Product recommendations,User Interface,517492,18-24
2023/06/11 10:55:58 PM GMT+5:30,31,Other,once a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,Keyword,First page,4,No,Sometimes,High shipping costs,Never,Yes,Rarely,Sometimes,Yes,5,1,Wide product selection,customer service responsiveness,426330,25-34
2023/06/12 4:02:53 PM GMT+5:30,22,Female,once a month,Home and Kitchen;others,No,Few times a month,categories,First page,1,Maybe,Often,Found a better price elsewhere,Always,No,Heavily,No,Sometimes,3,3,Product recommendations,User Interface,110452,18-24
2023/06/11 11:10:59 PM GMT+5:30,65,Female,once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,Unknown,First page,4,Maybe,Always,Changed my mind or no longer need the item,Never,No,Rarely,Sometimes,Yes,2,2,All the above,add more familiar brands to the list,833323,55+
2023/06/07 5:26:20 PM GMT+5:30,59,Female,few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Unknown,First page,1,Yes,Never,High shipping costs,Always,No,Rarely,No,No,1,2,User-friendly website/app interface,i don't have any problem with amazon,850538,55+
2023/06/04 9:29:59 PM GMT+5:30,24,Male,few times a month,Beauty and Personal Care,Sometimes,Rarely,others,Multiple pages,1,No,Sometimes,High shipping costs,Rarely,No,Heavily,Sometimes,No,1,2,Product recommendations,customer service responsiveness,550443,18-24
2023/06/07 2:19:05 PM GMT+5:30,34,Other,few times a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,Sometimes,1,2,Wide product selection,Unknown,984944,25-34
2023/06/09 3:10:36 PM GMT+5:30,38,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,5,No,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,Sometimes,3,5,Competitive prices,product quality and accuracy,940689,35-44
2023/06/11 11:20:18 PM GMT+5:30,34,Male,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,categories,First page,5,No,Always,others,Always,No,Heavily,Yes,Sometimes,3,2,Customer service,User Interface,378898,25-34
2023/06/11 10:50:44 PM GMT+5:30,57,Male,multiple times a week,others,Sometimes,Multiple times a day,Keyword,First page,5,Maybe,Always,Found a better price elsewhere,Never,Yes,Never,Sometimes,Yes,4,1,User-friendly website/app interface,irrelevant product suggestions,349477,55+
2023/06/06 10:46:31 AM GMT+5:30,14,Male,once a month,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,Filter,First page,5,Yes,Sometimes,others,Never,No,Occasionally,Yes,Yes,3,4,Product recommendations,User Interface,577780,18-24
2023/06/07 11:10:09 PM GMT+5:30,19,Other,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Filter,First page,2,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Sometimes,Sometimes,3,2,Customer service ,shipping speed and reliability,694908,18-24
2023/06/11 11:16:58 PM GMT+5:30,42,Male,once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,2,No,Often,High shipping costs,Never,Yes,Heavily,Yes,Sometimes,5,5,All the above,User Interface,446445,35-44
2023/06/09 3:24:36 PM GMT+5:30,46,Other,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Unknown,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,Sometimes,3,2,All the above,add more familiar brands to the list,697231,45-54
2023/06/06 6:32:00 PM GMT+5:30,30,Other,once a month,Clothing and Fashion;others,No,Multiple times a day,Filter,Multiple pages,2,Yes,Never,others,Sometimes,Yes,Heavily,Sometimes,No,3,1,All the above,no problems with amazon,801367,25-34
2023/06/07 11:41:56 AM GMT+5:30,62,Other,multiple times a week,Clothing and Fashion,Yes,Rarely,categories,First page,2,Maybe,Never,others,Always,Yes,Moderately,No,Yes,4,3,Customer service ,nothing,564030,55+
2023/06/06 6:46:21 PM GMT+5:30,63,Female,once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,First page,5,Yes,Sometimes,others,Rarely,Yes,Rarely,No,Yes,5,5,Competitive prices,i don't have any problem with amazon,358023,55+
2023/06/08 10:54:00 AM GMT+5:30,32,Female,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,others,First page,1,Yes,Often,Found a better price elsewhere,Never,Yes,Never,Sometimes,Sometimes,2,5,User-friendly website/app interface,i have no problem with amazon yet. but others tell me about the refund issues,132588,25-34
2023/06/06 7:11:13 PM GMT+5:30,24,Other,few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5,No,Often,Changed my mind or no longer need the item,Always,No,Rarely,No,No,2,4,All the above,reducing packaging waste,374922,18-24
2023/06/06 7:46:27 PM GMT+5:30,25,Other,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,others,First page,3,No,Sometimes,Found a better price elsewhere,Never,No,Moderately,No,No,1,1,Customer service,Unknown,302093,25-34
2023/06/09 10:26:51 AM GMT+5:30,55,Other,once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Keyword,First page,3,Yes,Never,High shipping costs,Never,Yes,Heavily,No,Yes,5,5,Wide product selection,User Interface,761675,55+
2023/06/06 6:35:33 PM GMT+5:30,57,Other,less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,5,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,Sometimes,2,4,All the above,User Interface,231994,55+
2023/06/05 10:37:36 AM GMT+5:30,53,Other,once a week,Groceries and Gourmet Food,Yes,Few times a month,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,Always,No,Never,Yes,Yes,1,4,Competitive prices,customer service responsiveness,226503,45-54
2023/06/11 11:20:57 PM GMT+5:30,60,Other,once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,Unknown,Multiple pages,5,No,Rarely,High shipping costs,Always,No,Never,No,Yes,4,4,Product recommendations,scrolling option would be much better than going to next page,275815,55+
2023/06/07 9:23:39 PM GMT+5:30,3,Male,once a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,3,Yes,Never,Changed my mind or no longer need the item,Often,No,Rarely,No,Yes,3,5,Quick delivery,i have no problem with amazon yet. but others tell me about the refund issues,829085,18-24
2023/06/09 3:25:33 PM GMT+5:30,57,Other,few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,others,Multiple pages,5,No,Rarely,Found a better price elsewhere,Never,No,Heavily,Sometimes,No,4,4,User-friendly website/app interface,nothing,133228,55+
2023/06/12 3:33:53 PM GMT+5:30,26,Female,once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,2,No,Rarely,Found a better price elsewhere,Never,Yes,Moderately,Yes,Sometimes,4,5,Customer service ,no problems with amazon,608989,25-34
2023/06/06 8:01:47 PM GMT+5:30,21,Male,multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,categories,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Moderately,No,Yes,1,1,Competitive prices,shipping speed and reliability,603175,18-24
2023/06/07 10:16:22 PM GMT+5:30,6,Male,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,Filter,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Always,Yes,Occasionally,No,Sometimes,5,3,Product recommendations,nothing,745429,18-24
2023/06/04 8:52:49 PM GMT+5:30,59,Male,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,Sometimes,2,2,Customer service ,Unknown,479687,55+
2023/06/07 9:32:38 AM GMT+5:30,48,Other,once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,No,3,1,.,product quality and accuracy,413270,45-54
2023/06/08 10:38:51 PM GMT+5:30,52,Other,multiple times a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,2,Yes,Never,Found a better price elsewhere,Never,No,Rarely,Sometimes,Sometimes,5,4,Competitive prices,User Interface,654030,45-54
2023/06/06 10:03:52 AM GMT+5:30,32,Female,few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a week,others,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Yes,Sometimes,4,2,Product recommendations,shipping speed and reliability,181555,25-34
2023/06/07 1:49:06 PM GMT+5:30,11,Other,once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,others,First page,2,No,Never,High shipping costs,Sometimes,Yes,Occasionally,Yes,No,4,5,.,shipping speed and reliability,437420,18-24
2023/06/06 7:02:21 PM GMT+5:30,19,Male,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,No,Never,others,Often,No,Never,Sometimes,Yes,3,1,Customer service ,reducing packaging waste,349389,18-24
2023/06/09 10:28:23 AM GMT+5:30,31,Male,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Keyword,Multiple pages,2,Maybe,Often,High shipping costs,Often,Yes,Heavily,No,No,4,1,Customer service ,nothing,183459,25-34
2023/06/06 7:54:19 PM GMT+5:30,8,Female,once a month,Clothing and Fashion;others,Sometimes,Rarely,Unknown,First page,4,Yes,Often,High shipping costs,Never,No,Moderately,No,No,5,1,Wide product selection,i have no problem with amazon yet. but others tell me about the refund issues,164965,18-24
2023/06/05 2:25:28 PM GMT+5:30,23,Female,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,Unknown,First page,2,Yes,Rarely,others,Rarely,No,Never,Sometimes,No,3,4,Product recommendations,better app interface and lower shipping charges,321484,18-24
2023/06/08 5:37:13 PM GMT+5:30,47,Female,once a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,Multiple pages,5,No,Rarely,High shipping costs,Often,Yes,Heavily,Sometimes,Sometimes,4,3,All the above,customer service responsiveness,545338,45-54
2023/06/09 4:33:19 PM GMT+5:30,42,Male,less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,others,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,Sometimes,2,1,Quick delivery,User Interface,763673,35-44
2023/06/05 1:27:08 PM GMT+5:30,28,Other,once a month,Beauty and Personal Care;others,Yes,Few times a week,Unknown,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Always,No,Rarely,Yes,Yes,5,3,Competitive prices,customer service responsiveness,664194,25-34
2023/06/12 3:53:28 PM GMT+5:30,66,Other,once a month,Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,4,No,Rarely,others,Sometimes,No,Occasionally,Sometimes,Yes,1,3,Quick delivery,i don't have any problem with amazon,669267,55+
2023/06/06 11:28:31 PM GMT+5:30,64,Other,less than once a month,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,Yes,2,5,Customer service ,User Interface,119098,55+
2023/06/09 10:58:44 AM GMT+5:30,20,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple times a day,Filter,First page,4,No,Never,High shipping costs,Rarely,Yes,Occasionally,Yes,Sometimes,4,1,Wide product selection,i don't have any problem with amazon,780550,18-24
2023/06/04 7:48:31 PM GMT+5:30,61,Other,once a week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,First page,1,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,Occasionally,Sometimes,Sometimes,4,1,Customer service,irrelevant product suggestions,346711,55+
2023/06/08 5:38:01 PM GMT+5:30,28,Other,few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,others,Multiple pages,1,Yes,Always,Found a better price elsewhere,Sometimes,No,Never,Sometimes,No,5,1,Customer service ,reducing packaging waste,956927,25-34
2023/06/08 7:50:55 PM GMT+5:30,42,Other,few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,Unknown,Multiple pages,2,No,Rarely,Found a better price elsewhere,Often,No,Never,Sometimes,Yes,1,4,Competitive prices,customer service responsiveness,170329,35-44
2023/06/09 3:19:53 PM GMT+5:30,66,Other,once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,categories,Multiple pages,3,Yes,Rarely,High shipping costs,Often,Yes,Heavily,No,Sometimes,3,2,Customer service,customer service responsiveness,140986,55+
2023/06/09 3:25:33 PM GMT+5:30,28,Female,few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,others,First page,1,Maybe,Often,others,Often,Yes,Rarely,Yes,No,3,3,Wide product selection,User Interface,913747,25-34
2023/06/07 2:22:14 PM GMT+5:30,10,Other,few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Never,No,Yes,1,5,Product recommendations,scrolling option would be much better than going to next page,253645,18-24
2023/06/10 2:40:34 PM GMT+5:30,52,Female,less than once a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,3,Yes,Never,High shipping costs,Sometimes,Yes,Moderately,Sometimes,Sometimes,4,2,Product recommendations,scrolling option would be much better than going to next page,362496,45-54
2023/06/11 10:43:19 PM GMT+5:30,20,Other,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Sometimes,No,Occasionally,No,Yes,2,4,Customer service ,better app interface and lower shipping charges,430412,18-24
2023/06/04 8:20:42 PM GMT+5:30,29,Other,once a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Yes,Never,Found a better price elsewhere,Always,Yes,Never,Yes,Yes,1,5,User-friendly website/app interface,no problems with amazon,449371,25-34
2023/06/06 7:15:48 PM GMT+5:30,59,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,others,First page,3,No,Often,Changed my mind or no longer need the item,Rarely,Yes,Heavily,No,No,1,4,Customer service,User Interface,266497,55+
2023/06/08 5:32:12 PM GMT+5:30,61,Female,less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,others,First page,3,No,Rarely,High shipping costs,Rarely,No,Occasionally,No,Yes,4,2,Wide product selection,irrelevant product suggestions,266430,55+
2023/06/09 2:39:47 PM GMT+5:30,42,Other,once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Unknown,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,Sometimes,3,1,Competitive prices,Unknown,168659,35-44
2023/06/05 10:04:32 PM GMT+5:30,24,Other,less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,2,Maybe,Rarely,Found a better price elsewhere,Always,Yes,Heavily,Yes,Yes,4,4,.,reducing packaging waste,180627,18-24
2023/06/05 10:36:38 AM GMT+5:30,38,Female,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,categories,First page,3,Yes,Always,Found a better price elsewhere,Never,Yes,Occasionally,Yes,No,1,4,Product recommendations,Unknown,996592,35-44
2023/06/07 9:19:23 AM GMT+5:30,19,Female,once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Unknown,Multiple pages,3,Maybe,Sometimes,others,Rarely,Yes,Heavily,Sometimes,Sometimes,1,3,Quick delivery,product quality and accuracy,115397,18-24
2023/06/04 11:24:41 PM GMT+5:30,60,Other,multiple times a week,Groceries and Gourmet Food,Yes,Rarely,categories,First page,5,Yes,Often,High shipping costs,Always,No,Occasionally,No,Sometimes,1,3,Customer service ,nothing,501390,55+
2023/06/09 10:59:38 AM GMT+5:30,51,Female,few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,5,Yes,Often,High shipping costs,Rarely,No,Occasionally,No,Sometimes,1,2,Customer service ,product quality and accuracy,864801,45-54
2023/06/05 10:07:33 PM GMT+5:30,3,Male,once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,5,No,Never,others,Never,No,Occasionally,No,Sometimes,5,2,User-friendly website/app interface,add more familiar brands to the list,118694,18-24
2023/06/06 8:08:19 PM GMT+5:30,60,Male,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,5,Maybe,Rarely,High shipping costs,Never,No,Occasionally,Yes,Sometimes,5,5,Product recommendations,i don't have any problem with amazon,352850,55+
2023/06/05 9:56:08 PM GMT+5:30,39,Male,few times a month,others,Yes,Rarely,Filter,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,Moderately,Yes,No,2,4,Customer service ,customer service responsiveness,331480,35-44
2023/06/12 2:44:47 PM GMT+5:30,63,Other,multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,categories,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Never,No,Occasionally,Yes,No,4,1,Customer service,better app interface and lower shipping charges,372239,55+
2023/06/08 3:26:38 AM GMT+5:30,67,Other,few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Unknown,First page,3,No,Sometimes,Changed my mind or no longer need the item,Always,Yes,Never,No,No,5,1,Product recommendations,better app interface and lower shipping charges,715619,55+
2023/06/11 11:21:30 PM GMT+5:30,6,Other,few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Never,others,Always,Yes,Moderately,No,No,1,4,Customer service ,add more familiar brands to the list,135079,18-24
2023/06/06 7:10:55 PM GMT+5:30,36,Other,multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,others,Multiple pages,5,Maybe,Rarely,Found a better price elsewhere,Rarely,Yes,Never,No,Yes,4,5,User-friendly website/app interface,User Interface,256914,35-44
2023/06/07 10:21:00 PM GMT+5:30,64,Other,once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Unknown,First page,1,Maybe,Always,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,No,5,5,All the above,better app interface and lower shipping charges,278249,55+
2023/06/05 2:56:10 AM GMT+5:30,14,Male,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Unknown,Multiple pages,5,No,Sometimes,High shipping costs,Always,Yes,Never,No,Yes,3,2,Competitive prices,customer service responsiveness,646848,18-24
2023/06/12 2:49:47 PM GMT+5:30,41,Female,once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,4,Yes,Never,High shipping costs,Sometimes,No,Occasionally,Yes,Sometimes,5,2,.,Unknown,559785,35-44
2023/06/06 4:25:49 PM GMT+5:30,11,Other,once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,others,Multiple pages,1,No,Rarely,others,Often,No,Never,Yes,Sometimes,1,5,User-friendly website/app interface,customer service responsiveness,958892,18-24
2023/06/08 3:33:39 AM GMT+5:30,66,Male,multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,others,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Sometimes,Yes,5,3,Customer service ,User Interface,177417,55+
2023/06/07 1:33:51 PM GMT+5:30,11,Other,few times a month,Home and Kitchen;others,Yes,Rarely,Keyword,First page,3,Yes,Often,others,Always,No,Rarely,No,No,5,4,Product recommendations,no problems with amazon,595926,18-24
2023/06/04 9:48:15 PM GMT+5:30,51,Female,few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Unknown,First page,2,No,Rarely,Found a better price elsewhere,Never,No,Moderately,Sometimes,No,2,4,User-friendly website/app interface,reducing packaging waste,687455,45-54
2023/06/06 6:37:26 PM GMT+5:30,37,Male,less than once a month,Beauty and Personal Care;others,Yes,Few times a week,Unknown,Multiple pages,2,No,Never,High shipping costs,Rarely,Yes,Heavily,Sometimes,No,4,3,Customer service ,Unknown,926589,35-44
2023/06/08 5:46:49 PM GMT+5:30,3,Other,multiple times a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,3,Yes,Never,Found a better price elsewhere,Rarely,Yes,Heavily,Sometimes,Sometimes,3,1,Customer service,customer service responsiveness,544536,18-24
2023/06/06 6:41:11 PM GMT+5:30,62,Other,once a week,Home and Kitchen,Sometimes,Few times a month,Unknown,First page,1,Yes,Always,High shipping costs,Never,Yes,Moderately,Sometimes,No,2,3,All the above,irrelevant product suggestions,729354,55+
2023/06/06 11:28:31 PM GMT+5:30,30,Male,multiple times a week,Clothing and Fashion;others,No,Few times a month,Keyword,First page,4,Yes,Sometimes,others,Rarely,Yes,Never,Yes,No,2,4,Product recommendations,irrelevant product suggestions,142138,25-34
2023/06/09 9:34:07 AM GMT+5:30,24,Other,multiple times a week,Clothing and Fashion;others,Yes,Few times a month,categories,Multiple pages,2,No,Never,High shipping costs,Sometimes,No,Occasionally,Sometimes,Yes,1,4,Customer service ,i don't have any problem with amazon,858515,18-24
2023/06/07 2:33:56 PM GMT+5:30,66,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,categories,Multiple pages,3,No,Rarely,Found a better price elsewhere,Often,No,Moderately,Yes,Yes,3,3,User-friendly website/app interface,customer service responsiveness,224855,55+
2023/06/09 10:58:13 AM GMT+5:30,49,Female,less than once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,others,Rarely,No,Rarely,No,No,4,3,Wide product selection,nothing,443511,45-54
