Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/07 3:58:52 PM GMT+5:30,35,Female,Once a week,Clothing and Fashion,Yes,Multiple times a day,Filter,First page,3,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,Moderately,Sometimes,5,Yes,4,3,Customer service ,Reducing packaging waste,682652
2023/06/07 10:20:09 PM GMT+5:30,7,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,Filter,First page,4,Maybe,Often,Changed my mind or no longer need the item,Often,No,Heavily,No,3,No,5,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,304695
2023/06/08 10:41:11 PM GMT+5:30,48,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,others,First page,4,No,Always,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,3,No,1,1,Competitive prices,.,655645
2023/06/08 5:16:17 PM GMT+5:30,57,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,1,Yes,4,1,All the above,User interface of app,388596
2023/06/08 5:59:25 PM GMT+5:30,57,Female,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,nan,First page,3,No,Always,others,Rarely,Yes,Heavily,Sometimes,2,Yes,4,5,.,better app interface and lower shipping charges,417089
2023/06/08 3:30:05 AM GMT+5:30,39,Others,Once a week,Home and Kitchen,No,Multiple times a day,nan,Multiple pages,1,Maybe,Always,others,Always,Yes,Rarely,Sometimes,3,No,2,5,Wide product selection,Scrolling option would be much better than going to next page,537779
2023/06/10 11:21:59 PM GMT+5:30,49,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,nan,Multiple pages,3,Yes,Often,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,3,Yes,4,4,.,Scrolling option would be much better than going to next page,271936
2023/06/07 9:20:34 AM GMT+5:30,48,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,categories,Multiple pages,4,Maybe,Always,Found a better price elsewhere,Often,No,Never,No,5,No,5,4,Customer service,Quality of product is very poor according to the big offers,257344
2023/06/07 9:19:23 AM GMT+5:30,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Rarely,No,Moderately,Yes,3,Sometimes,4,5,Customer service ,Shipping speed and reliability,394096
2023/06/11 11:24:21 PM GMT+5:30,4,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,categories,Multiple pages,4,No,Often,others,Sometimes,Yes,Moderately,No,2,Sometimes,2,4,Customer service ,User interface of app,319614
2023/06/12 2:41:58 PM GMT+5:30,61,Male,Few times a month,Beauty and Personal Care;others,Yes,Few times a month,others,Multiple pages,2,Yes,Always,others,Rarely,No,Moderately,No,3,Sometimes,2,3,User-friendly website/app interface,better app interface and lower shipping charges,995904
2023/06/04 8:01:45 PM GMT+5:30,33,Others,Multiple times a week,others,Sometimes,Multiple times a day,Filter,First page,1,Maybe,Always,High shipping costs,Sometimes,Yes,Moderately,No,3,Yes,5,5,Customer service,I don't have any problem with Amazon,935653
2023/06/07 10:11:28 PM GMT+5:30,51,Female,Few times a month,Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,5,Maybe,Never,others,Always,Yes,Occasionally,No,3,No,4,5,User-friendly website/app interface,UI,752449
2023/06/06 6:57:14 PM GMT+5:30,38,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Rarely,Filter,Multiple pages,5,No,Often,Changed my mind or no longer need the item,Sometimes,No,Heavily,No,5,No,1,1,Customer service,Product quality and accuracy,623749
2023/06/09 9:34:07 AM GMT+5:30,20,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a week,Filter,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Yes,4,4,Wide product selection,Reducing packaging waste,192547
2023/06/08 5:42:23 PM GMT+5:30,50,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,Keyword,Multiple pages,5,Maybe,Never,others,Sometimes,No,Never,No,2,Yes,5,5,Competitive prices,I don't have any problem with Amazon,925105
2023/06/06 2:07:12 PM GMT+5:30,22,Others,Once a week,Beauty and Personal Care;Home and Kitchen;others,No,Few times a month,categories,First page,1,No,Always,Found a better price elsewhere,Always,Yes,Never,Yes,3,Yes,2,2,User-friendly website/app interface,User interface ,828993
2023/06/09 2:36:46 PM GMT+5:30,29,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,5,No,Sometimes,High shipping costs,Never,No,Rarely,No,1,No,3,4,Product recommendations,Add more familiar brands to the list,458869
2023/06/05 8:44:09 PM GMT+5:30,27,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,nan,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Never,Sometimes,1,No,3,4,Wide product selection,Nil,986781
2023/06/06 7:16:28 PM GMT+5:30,46,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,nan,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,2,Sometimes,5,1,Customer service,Product quality and accuracy,533645
2023/06/08 5:11:27 PM GMT+5:30,24,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,First page,2,Yes,Never,Changed my mind or no longer need the item,Never,Yes,Moderately,No,2,No,3,3,All the above,No problems with Amazon,489066
2023/06/11 10:44:01 PM GMT+5:30,5,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,nan,First page,4,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Never,Sometimes,5,Sometimes,4,2,.,Quality of product is very poor according to the big offers,705393
2023/06/05 8:46:09 PM GMT+5:30,38,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,others,Often,No,Heavily,Sometimes,4,Yes,1,2,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,954650
2023/06/05 8:52:01 PM GMT+5:30,42,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Always,Found a better price elsewhere,Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,4,5,Wide product selection,better app interface and lower shipping charges,238659
2023/06/04 9:29:59 PM GMT+5:30,36,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,2,Yes,Rarely,High shipping costs,Never,Yes,Occasionally,Yes,5,Yes,1,2,Competitive prices,User interface ,829116
2023/06/09 9:35:19 AM GMT+5:30,62,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,5,Yes,Never,Found a better price elsewhere,Often,Yes,Rarely,No,2,Yes,3,3,Competitive prices,Irrelevant product suggestions,348347
2023/06/06 6:43:32 PM GMT+5:30,39,Others,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,5,Yes,Always,Found a better price elsewhere,Often,No,Occasionally,Yes,2,Sometimes,2,3,Competitive prices,No problems with Amazon,946844
2023/06/11 11:21:30 PM GMT+5:30,23,Others,Few times a month,Clothing and Fashion,Sometimes,Rarely,nan,First page,5,No,Rarely,others,Rarely,Yes,Never,Yes,5,Sometimes,1,4,Customer service,Quality of product is very poor according to the big offers,731501
2023/06/05 9:56:02 PM GMT+5:30,16,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Filter,Multiple pages,2,Maybe,Always,others,Sometimes,No,Never,Sometimes,2,Sometimes,2,4,Product recommendations,User interface ,517492
2023/06/11 10:55:58 PM GMT+5:30,31,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,Keyword,First page,4,No,Sometimes,High shipping costs,Never,Yes,Rarely,Sometimes,5,Yes,5,1,Wide product selection,Customer service responsiveness,426330
2023/06/12 4:02:53 PM GMT+5:30,22,Female,Once a month,Home and Kitchen;others,No,Few times a month,categories,First page,1,Maybe,Often,Found a better price elsewhere,Always,No,Heavily,No,2,Sometimes,3,3,Product recommendations,User interface ,110452
2023/06/11 11:10:59 PM GMT+5:30,65,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,nan,First page,4,Maybe,Always,Changed my mind or no longer need the item,Never,No,Rarely,Sometimes,5,Yes,2,2,All the above,Add more familiar brands to the list,833323
2023/06/07 5:26:20 PM GMT+5:30,59,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,nan,First page,1,Yes,Never,High shipping costs,Always,No,Rarely,No,2,No,1,2,User-friendly website/app interface,I don't have any problem with Amazon,850538
2023/06/04 9:29:59 PM GMT+5:30,24,Male,Few times a month,Beauty and Personal Care,Sometimes,Rarely,others,Multiple pages,1,No,Sometimes,High shipping costs,Rarely,No,Heavily,Sometimes,1,No,1,2,Product recommendations,Customer service responsiveness,550443
2023/06/07 2:19:05 PM GMT+5:30,34,Prefer not to say,Few times a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Sometimes,1,2,Wide product selection,.,984944
2023/06/09 3:10:36 PM GMT+5:30,38,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,5,No,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,4,Sometimes,3,5,Competitive prices,Product quality and accuracy,940689
2023/06/11 11:20:18 PM GMT+5:30,34,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,categories,First page,5,No,Always,others,Always,No,Heavily,Yes,5,Sometimes,3,2,Customer service,User interface ,378898
2023/06/11 10:50:44 PM GMT+5:30,57,Male,Multiple times a week,others,Sometimes,Multiple times a day,Keyword,First page,5,Maybe,Always,Found a better price elsewhere,Never,Yes,Never,Sometimes,3,Yes,4,1,User-friendly website/app interface,Irrelevant product suggestions,349477
2023/06/06 10:46:31 AM GMT+5:30,14,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,Filter,First page,5,Yes,Sometimes,others,Never,No,Occasionally,Yes,4,Yes,3,4,Product recommendations,UI,577780
2023/06/07 11:10:09 PM GMT+5:30,19,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,Filter,First page,2,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Sometimes,3,Sometimes,3,2,Customer service ,Shipping speed and reliability,694908
2023/06/11 11:16:58 PM GMT+5:30,42,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,Multiple pages,2,No,Often,High shipping costs,Never,Yes,Heavily,Yes,4,Sometimes,5,5,All the above,User interface of app,446445
2023/06/09 3:24:36 PM GMT+5:30,46,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,4,Sometimes,3,2,All the above,Add more familiar brands to the list,697231
2023/06/06 6:32:00 PM GMT+5:30,30,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,Filter,Multiple pages,2,Yes,Never,others,Sometimes,Yes,Heavily,Sometimes,1,No,3,1,All the above,No problems with Amazon,801367
2023/06/07 11:41:56 AM GMT+5:30,62,Others,Multiple times a week,Clothing and Fashion,Yes,Rarely,categories,First page,2,Maybe,Never,others,Always,Yes,Moderately,No,4,Yes,4,3,Customer service ,Nothing,564030
2023/06/06 6:46:21 PM GMT+5:30,63,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,First page,5,Yes,Sometimes,others,Rarely,Yes,Rarely,No,3,Yes,5,5,Competitive prices,I don't have any problem with Amazon,358023
2023/06/08 10:54:00 AM GMT+5:30,32,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,others,First page,1,Yes,Often,Found a better price elsewhere,Never,Yes,Never,Sometimes,1,Sometimes,2,5,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,132588
2023/06/06 7:11:13 PM GMT+5:30,24,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5,No,Often,Changed my mind or no longer need the item,Always,No,Rarely,No,2,No,2,4,All the above,Reducing packaging waste,374922
2023/06/06 7:46:27 PM GMT+5:30,25,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,others,First page,3,No,Sometimes,Found a better price elsewhere,Never,No,Moderately,No,4,No,1,1,Customer service,.,302093
2023/06/09 10:26:51 AM GMT+5:30,55,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Keyword,First page,3,Yes,Never,High shipping costs,Never,Yes,Heavily,No,5,Yes,5,5,Wide product selection,User interface ,761675
2023/06/06 6:35:33 PM GMT+5:30,57,Others,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,5,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,1,Sometimes,2,4,All the above,User interface of app,231994
2023/06/05 10:37:36 AM GMT+5:30,53,Prefer not to say,Once a week,Groceries and Gourmet Food,Yes,Few times a month,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,Always,No,Never,Yes,4,Yes,1,4,Competitive prices,Customer service responsiveness,226503
2023/06/11 11:20:57 PM GMT+5:30,60,Others,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,nan,Multiple pages,5,No,Rarely,High shipping costs,Always,No,Never,No,5,Yes,4,4,Product recommendations,Scrolling option would be much better than going to next page,275815
2023/06/07 9:23:39 PM GMT+5:30,3,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,Keyword,First page,3,Yes,Never,Changed my mind or no longer need the item,Often,No,Rarely,No,1,Yes,3,5,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,829085
2023/06/09 3:25:33 PM GMT+5:30,57,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,others,Multiple pages,5,No,Rarely,Found a better price elsewhere,Never,No,Heavily,Sometimes,5,No,4,4,User-friendly website/app interface,Nothing,133228
2023/06/12 3:33:53 PM GMT+5:30,26,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,2,No,Rarely,Found a better price elsewhere,Never,Yes,Moderately,Yes,1,Sometimes,4,5,Customer service ,No problems with Amazon,608989
2023/06/06 8:01:47 PM GMT+5:30,21,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,categories,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Moderately,No,5,Yes,1,1,Competitive prices,Shipping speed and reliability,603175
2023/06/07 10:16:22 PM GMT+5:30,6,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,Filter,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Always,Yes,Occasionally,No,5,Sometimes,5,3,Product recommendations,Nothing,745429
2023/06/04 8:52:49 PM GMT+5:30,59,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,1,Sometimes,2,2,Customer service ,Nil,479687
2023/06/07 9:32:38 AM GMT+5:30,48,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,3,No,3,1,.,Product quality and accuracy,413270
2023/06/08 10:38:51 PM GMT+5:30,52,Others,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,2,Yes,Never,Found a better price elsewhere,Never,No,Rarely,Sometimes,3,Sometimes,5,4,Competitive prices,User interface ,654030
2023/06/06 10:03:52 AM GMT+5:30,32,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a week,others,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Yes,2,Sometimes,4,2,Product recommendations,Shipping speed and reliability,181555
2023/06/07 1:49:06 PM GMT+5:30,11,Others,Once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,others,First page,2,No,Never,High shipping costs,Sometimes,Yes,Occasionally,Yes,3,No,4,5,.,Shipping speed and reliability,437420
2023/06/06 7:02:21 PM GMT+5:30,19,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,No,Never,others,Often,No,Never,Sometimes,4,Yes,3,1,Customer service ,Reducing packaging waste,349389
2023/06/09 10:28:23 AM GMT+5:30,31,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Keyword,Multiple pages,2,Maybe,Often,High shipping costs,Often,Yes,Heavily,No,3,No,4,1,Customer service ,Nothing,183459
2023/06/06 7:54:19 PM GMT+5:30,8,Female,Once a month,Clothing and Fashion;others,Sometimes,Rarely,nan,First page,4,Yes,Often,High shipping costs,Never,No,Moderately,No,2,No,5,1,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,164965
2023/06/05 2:25:28 PM GMT+5:30,23,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,nan,First page,2,Yes,Rarely,others,Rarely,No,Never,Sometimes,1,No,3,4,Product recommendations,better app interface and lower shipping charges,321484
2023/06/08 5:37:13 PM GMT+5:30,47,Female,Once a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,Multiple pages,5,No,Rarely,High shipping costs,Often,Yes,Heavily,Sometimes,2,Sometimes,4,3,All the above,Customer service responsiveness,545338
2023/06/09 4:33:19 PM GMT+5:30,42,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,others,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,5,Sometimes,2,1,Quick delivery,User interface of app,763673
2023/06/05 1:27:08 PM GMT+5:30,28,Prefer not to say,Once a month,Beauty and Personal Care;others,Yes,Few times a week,nan,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Always,No,Rarely,Yes,1,Yes,5,3,Competitive prices,Customer service responsiveness,664194
2023/06/12 3:53:28 PM GMT+5:30,66,Others,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,4,No,Rarely,others,Sometimes,No,Occasionally,Sometimes,2,Yes,1,3,Quick delivery,I don't have any problem with Amazon,669267
2023/06/06 11:28:31 PM GMT+5:30,64,Prefer not to say,Less than once a month,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,2,Yes,2,5,Customer service ,User interface ,119098
2023/06/09 10:58:44 AM GMT+5:30,20,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple times a day,Filter,First page,4,No,Never,High shipping costs,Rarely,Yes,Occasionally,Yes,1,Sometimes,4,1,Wide product selection,I don't have any problem with Amazon,780550
2023/06/04 7:48:31 PM GMT+5:30,61,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,First page,1,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,Occasionally,Sometimes,1,Sometimes,4,1,Customer service,Irrelevant product suggestions,346711
2023/06/08 5:38:01 PM GMT+5:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,others,Multiple pages,1,Yes,Always,Found a better price elsewhere,Sometimes,No,Never,Sometimes,4,No,5,1,Customer service ,Reducing packaging waste,956927
2023/06/08 7:50:55 PM GMT+5:30,42,Others,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,2,No,Rarely,Found a better price elsewhere,Often,No,Never,Sometimes,5,Yes,1,4,Competitive prices,Customer service responsiveness,170329
2023/06/09 3:19:53 PM GMT+5:30,66,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,categories,Multiple pages,3,Yes,Rarely,High shipping costs,Often,Yes,Heavily,No,1,Sometimes,3,2,Customer service,Customer service responsiveness,140986
2023/06/09 3:25:33 PM GMT+5:30,28,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,others,First page,1,Maybe,Often,others,Often,Yes,Rarely,Yes,5,No,3,3,Wide product selection,User interface ,913747
2023/06/07 2:22:14 PM GMT+5:30,10,Others,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Never,No,1,Yes,1,5,Product recommendations,Scrolling option would be much better than going to next page,253645
2023/06/10 2:40:34 PM GMT+5:30,52,Female,Less than once a month,Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,3,Yes,Never,High shipping costs,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,4,2,Product recommendations,Scrolling option would be much better than going to next page,362496
2023/06/11 10:43:19 PM GMT+5:30,20,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Sometimes,No,Occasionally,No,1,Yes,2,4,Customer service ,better app interface and lower shipping charges,430412
2023/06/04 8:20:42 PM GMT+5:30,29,Others,Once a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Yes,Never,Found a better price elsewhere,Always,Yes,Never,Yes,1,Yes,1,5,User-friendly website/app interface,No problems with Amazon,449371
2023/06/06 7:15:48 PM GMT+5:30,59,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,others,First page,3,No,Often,Changed my mind or no longer need the item,Rarely,Yes,Heavily,No,2,No,1,4,Customer service,User interface of app,266497
2023/06/08 5:32:12 PM GMT+5:30,61,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,others,First page,3,No,Rarely,High shipping costs,Rarely,No,Occasionally,No,1,Yes,4,2,Wide product selection,Irrelevant product suggestions,266430
2023/06/09 2:39:47 PM GMT+5:30,42,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,nan,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,4,Sometimes,3,1,Competitive prices,Nil,168659
2023/06/05 10:04:32 PM GMT+5:30,24,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,2,Maybe,Rarely,Found a better price elsewhere,Always,Yes,Heavily,Yes,2,Yes,4,4,.,Reducing packaging waste,180627
2023/06/05 10:36:38 AM GMT+5:30,38,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,categories,First page,3,Yes,Always,Found a better price elsewhere,Never,Yes,Occasionally,Yes,3,No,1,4,Product recommendations,Nil,996592
2023/06/07 9:19:23 AM GMT+5:30,19,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,nan,Multiple pages,3,Maybe,Sometimes,others,Rarely,Yes,Heavily,Sometimes,5,Sometimes,1,3,Quick delivery,Product quality and accuracy,115397
2023/06/04 11:24:41 PM GMT+5:30,60,Others,Multiple times a week,Groceries and Gourmet Food,Yes,Rarely,categories,First page,5,Yes,Often,High shipping costs,Always,No,Occasionally,No,4,Sometimes,1,3,Customer service ,Nothing,501390
2023/06/09 10:59:38 AM GMT+5:30,51,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,5,Yes,Often,High shipping costs,Rarely,No,Occasionally,No,4,Sometimes,1,2,Customer service ,Product quality and accuracy,864801
2023/06/05 10:07:33 PM GMT+5:30,3,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,5,No,Never,others,Never,No,Occasionally,No,2,Sometimes,5,2,User-friendly website/app interface,Add more familiar brands to the list,118694
2023/06/06 8:08:19 PM GMT+5:30,60,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,5,Maybe,Rarely,High shipping costs,Never,No,Occasionally,Yes,4,Sometimes,5,5,Product recommendations,I don't have any problem with Amazon,352850
2023/06/05 9:56:08 PM GMT+5:30,39,Male,Few times a month,others,Yes,Rarely,Filter,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,Moderately,Yes,4,No,2,4,Customer service ,Customer service responsiveness,331480
2023/06/12 2:44:47 PM GMT+5:30,63,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,categories,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Never,No,Occasionally,Yes,4,No,4,1,Customer service,better app interface and lower shipping charges,372239
2023/06/08 3:26:38 AM GMT+5:30,67,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,nan,First page,3,No,Sometimes,Changed my mind or no longer need the item,Always,Yes,Never,No,2,No,5,1,Product recommendations,better app interface and lower shipping charges,715619
2023/06/11 11:21:30 PM GMT+5:30,6,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Never,others,Always,Yes,Moderately,No,4,No,1,4,Customer service ,Add more familiar brands to the list,135079
2023/06/06 7:10:55 PM GMT+5:30,36,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,others,Multiple pages,5,Maybe,Rarely,Found a better price elsewhere,Rarely,Yes,Never,No,2,Yes,4,5,User-friendly website/app interface,UI,256914
